Title,Price,Rating,Price_Category
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,5,Expensive
The New Drawing on the Right Side of the Brain,43.02,3,Expensive
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,4,Medium
The Martian (The Martian #1),41.39,2,Expensive
The High Mountains of Portugal,51.15,1,Expensive
The Grownup,35.88,1,Medium
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,1,Medium
South of Sunshine,28.93,1,Medium
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,5,Medium
Silence in the Dark (Logan Point #4),58.33,3,Expensive
Shadows of the Past (Logan Point #1),39.67,5,Medium
Roller Girl,14.1,5,Cheap
Rising Strong,21.82,3,Medium
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,1,Expensive
Please Kill Me: The Uncensored Oral History of Punk,31.19,4,Medium
Out of Print: City Lights Spotlight No. 14,53.64,5,Expensive
My Life Next Door (My Life Next Door ),36.39,5,Medium
Miller's Valley,58.54,2,Expensive
Man's Search for Meaning,29.48,3,Medium
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,2,Medium
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,3,Cheap
Les Fleurs du Mal,29.04,5,Medium
Left Behind (Left Behind #1),40.72,2,Expensive
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,5,Expensive
Kierkegaard: A Christian Missionary to Christians,47.13,1,Expensive
John Vassos: Industrial Design for Modern Life,20.22,4,Medium
I'll Give You the Sun,56.48,1,Expensive
I Will Find You,44.21,1,Expensive
Hystopia: A Novel,21.96,4,Medium
Howl and Other Poems,40.45,2,Expensive
History of Beauty,10.29,4,Cheap
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,2,Expensive
Future Shock (Future Shock #1),55.65,5,Expensive
Ender's Game (The Ender Quintet #1),43.64,1,Expensive
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,1,Medium
Death by Leisure: A Cautionary Tale,37.51,4,Medium
Brilliant Beacons: A History of the American Lighthouse,11.45,3,Cheap
Brazen: The Courage to Find the You That's Been Hiding,19.22,2,Cheap
Between the World and Me,56.91,4,Expensive
Being Mortal: Medicine and What Matters in the End,55.06,4,Expensive
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,3,Cheap
32 Yolks,53.63,2,Expensive
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,5,Expensive
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,3,Cheap
Wildlife of New York: A Five-Borough Coloring Book,22.14,2,Medium
What Happened on Beale Street (Secrets of the South Mysteries #2),25.37,5,Medium
Unreasonable Hope: Finding Faith in the God Who Brings Purpose to Your Pain,46.33,2,Expensive
Under the Tuscan Sun,37.33,3,Medium
Toddlers Are A**holes: It's Not Your Fault,25.55,1,Medium
The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,34.72,1,Medium
The Whale,35.96,4,Medium
The Story of Art,41.14,4,Expensive
The Origin of Species,10.01,4,Cheap
The Great Gatsby,36.05,4,Medium
The Good Girl,49.03,3,Expensive
The Glass Castle,16.24,1,Cheap
The Faith of Christopher Hitchens: The Restless Soul of the World's Most Notorious Atheist,39.55,1,Medium
The Drowning Girls,35.67,3,Medium
The Constant Princess (The Tudor Court #1),16.62,3,Cheap
The Bourne Identity (Jason Bourne #1),42.78,4,Expensive
The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),52.3,5,Expensive
The Art Book,32.34,2,Medium
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,33.17,4,Medium
Team of Rivals: The Political Genius of Abraham Lincoln,20.12,5,Medium
Steal Like an Artist: 10 Things Nobody Told You About Being Creative,20.9,2,Medium
"Sit, Stay, Love",20.9,3,Medium
Sister Dear,40.2,4,Expensive
"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly",52.87,3,Expensive
"Rich Dad, Poor Dad",51.74,1,Expensive
Raymie Nightingale,34.41,2,Medium
Playing from the Heart,32.38,1,Medium
Nightstruck: A Novel,50.35,4,Expensive
"Naturally Lean: 125 Nourishing Gluten-Free, Plant-Based Recipes--All Under 300 Calories",11.38,5,Cheap
Meternity,43.58,3,Expensive
Memoirs of a Geisha,49.67,3,Expensive
Like Never Before (Walker Family #2),28.77,2,Medium
Life of Pi,13.22,4,Cheap
Leave This Song Behind: Teen Poetry at Its Best,51.17,5,Expensive
King's Folly (The Kinsman Chronicles #1),39.61,5,Medium
John Adams,57.43,4,Expensive
How to Cook Everything Vegetarian: Simple Meatless Recipes for Great Food (How to Cook Everything),46.01,4,Expensive
How to Be a Domestic Goddess: Baking and the Art of Comfort Cooking,28.25,2,Medium
Good in Bed (Cannie Shapiro #1),37.05,5,Medium
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,Cheap
For the Love: Fighting for Grace in a World of Impossible Standards,45.13,3,Expensive
Finding God in the Ruins: How God Redeems Pain,46.64,2,Expensive
Every Heart a Doorway (Every Heart A Doorway #1),12.16,5,Cheap
Delivering the Truth (Quaker Midwife Mystery #1),20.89,4,Medium
Counted With the Stars (Out from Egypt #1),17.97,5,Cheap
"Chronicles, Vol. 1",52.6,2,Expensive
Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,25.77,1,Medium
Benjamin Franklin: An American Life,48.19,3,Expensive
"At The Existentialist Caf̩: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",29.93,5,Medium
A Summer In Europe,44.34,2,Expensive
A Short History of Nearly Everything,52.4,5,Expensive
A Gathering of Shadows (Shades of Magic #2),44.81,4,Expensive
The Sound Of Love,57.84,5,Expensive
The Rise and Fall of the Third Reich: A History of Nazi Germany,39.67,2,Medium
The Perks of Being a Wallflower,55.02,3,Expensive
The Mysterious Affair at Styles (Hercule Poirot #1),24.8,4,Medium
The Man Who Mistook His Wife for a Hat and Other Clinical Tales,59.45,4,Expensive
The Makings of a Fatherless Child,31.58,2,Medium
The Joy of Cooking,43.27,4,Expensive
The Invention of Wings,37.34,1,Medium
The Hobbit (Middle-Earth Universe),17.8,5,Cheap
The Great Railway Bazaar,30.54,1,Medium
The Golden Compass (His Dark Materials #1),18.77,1,Cheap
The God Delusion,46.85,3,Expensive
The Girl You Left Behind (The Girl You Left Behind #1),15.79,1,Cheap
The Fellowship of the Ring (The Lord of the Rings #1),10.27,2,Cheap
The Collected Poems of W.B. Yeats (The Collected Works of W.B. Yeats #1),15.42,5,Cheap
The Barefoot Contessa Cookbook,59.92,5,Expensive
Tell the Wolves I'm Home,50.96,2,Expensive
Ship Leaves Harbor: Essays on Travel by a Recovering Journeyman,30.6,3,Medium
Pride and Prejudice,19.27,4,Cheap
Musicophilia: Tales of Music and the Brain,46.58,1,Expensive
Mere Christianity,48.51,3,Expensive
Me Before You (Me Before You #1),19.02,1,Cheap
In the Woods (Dublin Murder Squad #1),38.38,2,Medium
In Cold Blood,49.98,4,Expensive
How to Stop Worrying and Start Living,46.49,5,Expensive
Give It Back,18.32,2,Cheap
"Girl, Interrupted",42.14,3,Expensive
Fun Home: A Family Tragicomic,56.59,4,Expensive
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,Medium
Deception Point,40.32,4,Expensive
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,Medium
Catherine the Great: Portrait of a Woman,58.55,4,Expensive
Better Homes and Gardens New Cook Book,39.61,3,Medium
An Unquiet Mind: A Memoir of Moods and Madness,21.3,3,Medium
A Year in Provence (Provence #1),56.88,4,Expensive
World Without End (The Pillars of the Earth #2),32.97,4,Medium
"Will Grayson, Will Grayson (Will Grayson, Will Grayson)",47.31,4,Expensive
Why Save the Bankers?: And Other Essays on Our Economic and Political Crisis,48.67,2,Expensive
Where She Went (If I Stay #2),41.73,4,Expensive
What If?: Serious Scientific Answers to Absurd Hypothetical Questions,53.68,4,Expensive
Two Summers,14.64,1,Cheap
This Is Your Brain on Music: The Science of a Human Obsession,38.4,1,Medium
The Secret Garden,15.08,4,Cheap
The Raven King (The Raven Cycle #4),30.57,2,Medium
The Raven Boys (The Raven Cycle #1),57.74,4,Expensive
The Power Greens Cookbook: 140 Delicious Superfood Recipes,11.05,5,Cheap
The Metamorphosis,28.58,1,Medium
The Mathews Men: Seven Brothers and the War Against Hitler's U-boats,42.91,5,Expensive
The Little Paris Bookshop,24.73,3,Medium
The Hiding Place,55.91,4,Expensive
The Grand Design,13.76,3,Cheap
The Firm,45.56,3,Expensive
The Fault in Our Stars,47.22,1,Expensive
The False Prince (The Ascendance Trilogy #1),56.0,5,Expensive
The Expatriates,44.58,2,Expensive
The Dream Thieves (The Raven Cycle #2),34.5,1,Medium
The Darkest Corners,11.33,5,Cheap
The Crossover,38.77,4,Medium
The 5th Wave (The 5th Wave #1),11.83,2,Cheap
Tell the Wind and Fire,45.51,3,Expensive
Tell Me Three Things,41.81,1,Expensive
Talking to Girls About Duran Duran: One Young Man's Quest for True Love and a Cooler Haircut,25.15,4,Medium
Siddhartha,34.22,5,Medium
Shiver (The Wolves of Mercy Falls #1),16.23,5,Cheap
Remember Me?,11.48,3,Cheap
Red Dragon (Hannibal Lecter #1),23.37,3,Medium
Peak: Secrets from the New Science of Expertise,16.28,2,Cheap
My Mother Was Nuts,31.63,4,Medium
Mexican Today: New and Rediscovered Recipes for Contemporary Kitchens,24.91,5,Medium
Maybe Something Beautiful: How Art Transformed a Neighborhood,22.54,1,Medium
Lola and the Boy Next Door (Anna and the French Kiss #2),23.63,4,Medium
Logan Kade (Fallen Crest High #5.5),13.12,2,Cheap
Last One Home (New Beginnings #1),59.98,3,Expensive
Killing Floor (Jack Reacher #1),31.49,4,Medium
Kill the Boy Band,15.52,5,Cheap
Isla and the Happily Ever After (Anna and the French Kiss #3),48.13,5,Expensive
If I Stay (If I Stay #1),38.13,5,Medium
I Know Why the Caged Bird Sings (Maya Angelou's Autobiography #1),36.55,2,Medium
Harry Potter and the Deathly Hallows (Harry Potter #7),23.32,1,Medium
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,Cheap
Foundation (Foundation (Publication Order) #1),32.42,1,Medium
Fool Me Once,16.96,1,Cheap
Find Her (Detective D.D. Warren #8),22.37,1,Medium
Evicted: Poverty and Profit in the American City,42.27,1,Expensive
Drama,38.7,2,Medium
Dracula the Un-Dead,35.63,5,Medium
Digital Fortress,58.0,5,Expensive
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,Expensive
"Data, A Love Story: How I Gamed Online Dating to Meet My Match",32.35,3,Medium
Critique of Pure Reason,20.75,1,Medium
Booked,17.49,5,Cheap
"Blue Lily, Lily Blue (The Raven Cycle #3)",34.13,5,Medium
Approval Junkie: Adventures in Caring Too Much,58.81,5,Expensive
An Abundance of Katherines,10.0,5,Cheap
America's War for the Greater Middle East: A Military History,51.22,2,Expensive
Alight (The Generations Trilogy #2),58.59,4,Expensive
A Girl's Guide to Moving On (New Beginnings #2),31.3,1,Medium
A Game of Thrones (A Song of Ice and Fire #1),46.42,2,Expensive
A Feast for Crows (A Song of Ice and Fire #4),17.21,4,Cheap
A Clash of Kings (A Song of Ice and Fire #2),10.79,3,Cheap
Vogue Colors A to Z: A Fashion Coloring Book,52.35,4,Expensive
The Shining (The Shining #1),27.88,3,Medium
The Pilgrim's Progress,50.26,2,Expensive
The Perfect Play (Play by Play #1),59.99,3,Expensive
The Passion of Dolssa,28.32,5,Medium
The Jazz of Physics: The Secret Link Between Music and the Structure of the Universe,38.71,3,Medium
The Hunger Games (The Hunger Games #1),29.85,5,Medium
The Hound of the Baskervilles (Sherlock Holmes #5),14.82,2,Cheap
The Gunning of America: Business and the Making of American Gun Culture,16.81,4,Cheap
The Geography of Bliss: One Grump's Search for the Happiest Places in the World,28.23,2,Medium
The Demonists (Demonist #1),52.11,2,Expensive
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,Medium
The Bone Hunters (Lexy Vaughan & Steven Macaulay #2),59.71,3,Expensive
The Beast (Black Dagger Brotherhood #14),46.08,5,Expensive
Some Women,13.73,5,Cheap
Shopaholic Ties the Knot (Shopaholic #3),48.39,5,Expensive
Paper and Fire (The Great Library #2),49.45,5,Expensive
Outlander (Outlander #1),19.67,5,Cheap
"Orchestra of Exiles: The Story of Bronislaw Huberman, the Israel Philharmonic, and the One Thousand Jews He Saved from Nazi Horrors",12.36,3,Cheap
No One Here Gets Out Alive,20.02,5,Medium
Night Shift (Night Shift #1-20),12.75,4,Cheap
Needful Things,47.51,4,Expensive
Mockingjay (The Hunger Games #3),20.44,4,Medium
Misery,34.79,2,Medium
Little Women (Little Women #1),28.07,4,Medium
It,25.01,3,Medium
Harry Potter and the Sorcerer's Stone (Harry Potter #1),13.9,3,Cheap
Harry Potter and the Prisoner of Azkaban (Harry Potter #3),24.17,4,Medium
Harry Potter and the Order of the Phoenix (Harry Potter #5),31.63,4,Medium
Harry Potter and the Half-Blood Prince (Harry Potter #6),48.75,5,Expensive
Harry Potter and the Chamber of Secrets (Harry Potter #2),14.74,1,Cheap
Gone with the Wind,32.49,3,Medium
God Is Not Great: How Religion Poisons Everything,27.8,1,Medium
Girl With a Pearl Earring,26.77,1,Medium
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,Expensive
Far From True (Promise Falls Trilogy #2),34.93,2,Medium
Dark Lover (Black Dagger Brotherhood #1),12.87,1,Cheap
Confessions of a Shopaholic (Shopaholic #1),48.94,2,Expensive
Changing the Game (Play by Play #2),13.38,3,Cheap
Candide,58.63,3,Expensive
Can You Keep a Secret?,21.94,1,Medium
Atlas Shrugged,26.58,5,Medium
Animal Farm,57.22,3,Expensive
A Walk to Remember,56.43,1,Expensive
A New Earth: Awakening to Your Life's Purpose,55.65,5,Expensive
"A History of God: The 4,000-Year Quest of Judaism, Christianity, and Islam",27.62,1,Medium
'Salem's Lot,49.56,4,Expensive
Zero History (Blue Ant #3),34.77,1,Medium
Wuthering Heights,17.73,3,Cheap
World War Z: An Oral History of the Zombie War,21.8,1,Medium
Wild: From Lost to Found on the Pacific Crest Trail,46.02,3,Expensive
"Where'd You Go, Bernadette",18.13,1,Cheap
When You Are Engulfed in Flames,30.89,5,Medium
We the People: The Modern-Day Figures Who Have Reshaped and Affirmed the Founding Fathers' Vision of America,31.95,3,Medium
We Are All Completely Beside Ourselves,24.04,1,Medium
Walk the Edge (Thunder Road #2),32.36,3,Medium
Voyager (Outlander #3),21.07,5,Medium
Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination,50.66,3,Expensive
Vegan Vegetarian Omnivore: Dinner for Everyone at the Table,13.66,2,Cheap
"Unstuffed: Decluttering Your Home, Mind, and Soul",58.09,1,Expensive
Under the Banner of Heaven: A Story of Violent Faith,30.0,1,Medium
Two Boys Kissing,32.74,2,Medium
Twilight (Twilight #1),41.93,2,Expensive
Twenties Girl,42.8,2,Expensive
"Trespassing Across America: One Man's Epic, Never-Done-Before (and Sort of Illegal) Hike Across the Heartland",53.51,1,Expensive
Three-Martini Lunch,23.21,3,Medium
"Thinking, Fast and Slow",21.14,1,Medium
The Wild Robot,56.07,3,Expensive
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,Cheap
The Undomestic Goddess,45.75,4,Expensive
The Travelers,15.77,1,Cheap
The Tipping Point: How Little Things Can Make a Big Difference,10.02,2,Cheap
The Thing About Jellyfish,48.77,1,Expensive
The Stand,57.86,2,Expensive
The Smitten Kitchen Cookbook,23.59,1,Medium
The Silkworm (Cormoran Strike #2),23.05,5,Medium
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,Expensive
The Rose & the Dagger (The Wrath and the Dawn #2),58.64,4,Expensive
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),23.21,1,Medium
The Rise of Theodore Roosevelt (Theodore Roosevelt #1),42.57,3,Expensive
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2),10.92,1,Cheap
The Rest Is Noise: Listening to the Twentieth Century,34.77,1,Medium
The Red Tent,35.66,5,Medium
The Purpose Driven Life: What on Earth Am I Here for?,37.19,3,Medium
The Purest Hook (Second Circle Tattoos #3),12.25,1,Cheap
The Picture of Dorian Gray,29.7,2,Medium
The Paris Wife,36.8,3,Medium
The Obsession,45.43,1,Expensive
The Nightingale,26.26,4,Medium
The New Guy (and Other Senior Year Distractions),44.92,3,Expensive
The Nanny Diaries (Nanny #1),52.53,5,Expensive
The Name of God is Mercy,37.25,2,Medium
The Maze Runner (The Maze Runner #1),20.93,1,Medium
The Lover's Dictionary,58.09,2,Expensive
The Lonely Ones,43.59,5,Expensive
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,33.92,3,Medium
The Last Painting of Sara de Vos,55.55,2,Expensive
"The Land of 10,000 Madonnas",29.64,4,Medium
The Infinities,27.41,1,Medium
The Husband's Secret,52.51,5,Expensive
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy #1),47.8,3,Expensive
The Guns of August,14.54,2,Cheap
The Guernsey Literary and Potato Peel Pie Society,49.53,1,Expensive
The Goldfinch,43.58,3,Expensive
The Giver (The Giver Quartet #1),12.3,1,Cheap
The Girl with All the Gifts,49.47,3,Expensive
The Girl Who Played with Fire (Millennium Trilogy #2),22.14,2,Medium
The Girl Who Kicked the Hornet's Nest (Millennium Trilogy #3),57.48,1,Expensive
The Exiled,43.45,3,Expensive
"The End of Faith: Religion, Terror, and the Future of Reason",22.13,4,Medium
"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",13.03,4,Cheap
"The Disappearing Spoon: And Other True Tales of Madness, Love, and the History of the World from the Periodic Table of the Elements",57.35,5,Expensive
The Devil Wears Prada (The Devil Wears Prada #1),44.29,1,Expensive
The Demon-Haunted World: Science as a Candle in the Dark,52.25,4,Expensive
The Day the Crayons Came Home (Crayons),26.33,5,Medium
The Da Vinci Code (Robert Langdon #2),22.96,2,Medium
The Cuckoo's Calling (Cormoran Strike #1),19.21,1,Cheap
The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),26.78,4,Medium
The Complete Poems,41.32,5,Expensive
The Catcher in the Rye,24.55,1,Medium
The Cat in the Hat (Beginner Books B-1),16.26,2,Cheap
The Case for Christ (Cases for Christianity),47.84,1,Expensive
The Book Thief,53.49,2,Expensive
The Book of Basketball: The NBA According to The Sports Guy,44.84,5,Expensive
The Blind Side: Evolution of a Game,53.71,5,Expensive
The Autobiography of Malcolm X,23.43,2,Medium
"The Art of Simple Food: Notes, Lessons, and Recipes from a Delicious Revolution",34.32,3,Medium
The Art of Fielding,22.1,1,Medium
"Surely You're Joking, Mr. Feynman!: Adventures of a Curious Character",25.83,2,Medium
Stiff: The Curious Lives of Human Cadavers,36.74,3,Medium
Spilled Milk: Based on a True Story,49.51,1,Expensive
Something Borrowed (Darcy & Rachel #1),48.96,5,Expensive
Something Blue (Darcy & Rachel #2),54.62,1,Expensive
Soldier (Talon #3),24.72,2,Medium
Shopaholic & Baby (Shopaholic #5),46.45,2,Expensive
Seven Days in the Art World,52.33,2,Expensive
Seven Brief Lessons on Physics,30.6,4,Medium
Scarlet (The Lunar Chronicles #2),14.57,4,Cheap
Sarah's Key,46.29,1,Expensive
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,Medium
Running with Scissors,12.91,4,Cheap
Rogue Lawyer (Rogue Lawyer #1),50.11,3,Expensive
"Rise of the Rocket Girls: The Women Who Propelled Us, from Missiles to the Moon to Mars",41.67,4,Expensive
Rework,44.88,2,Expensive
Reservations for Two,11.1,3,Cheap
Red: The True Story of Red Riding Hood,28.54,3,Medium
Ready Player One,19.07,4,Cheap
Quiet: The Power of Introverts in a World That Can't Stop Talking,43.55,1,Expensive
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,Expensive
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,Medium
Packing for Mars: The Curious Science of Life in the Void,56.68,2,Expensive
Outliers: The Story of Success,14.16,1,Cheap
Original Fake,31.45,3,Medium
Orange Is the New Black,24.61,2,Medium
One for the Money (Stephanie Plum #1),32.87,2,Medium
Notes from a Small Island (Notes From a Small Island #1),40.17,1,Expensive
Night (The Night Trilogy #1),13.51,1,Cheap
Neither Here nor There: Travels in Europe,38.95,3,Medium
Naked,31.69,3,Medium
Morning Star (Red Rising #3),29.4,1,Medium
"Miracles from Heaven: A Little Girl, Her Journey to Heaven, and Her Amazing Story of Healing",57.83,1,Expensive
Midnight Riot (Peter Grant/ Rivers of London - books #1),55.46,2,Expensive
Me Talk Pretty One Day,57.6,2,Expensive
Manuscript Found in Accra,34.98,2,Medium
Lust & Wonder,11.87,2,Cheap
Lila (Gilead #3),12.47,3,Cheap
"Life, the Universe and Everything (Hitchhiker's Guide to the Galaxy #3)",33.26,2,Medium
Life Without a Recipe,59.04,5,Expensive
Life After Life,26.13,2,Medium
Letter to a Christian Nation,22.2,1,Medium
Let's Pretend This Never Happened: A Mostly True Memoir,45.11,1,Expensive
Legend (Legend #1),43.69,4,Expensive
"Lean In: Women, Work, and the Will to Lead",25.02,1,Medium
"Lamb: The Gospel According to Biff, Christ's Childhood Pal",55.5,5,Expensive
Lady Renegades (Rebel Belle #3),53.04,5,Expensive
Jurassic Park (Jurassic Park #1),44.97,1,Expensive
It's Never Too Late to Begin Again: Discovering Creativity and Meaning at Midlife and Beyond,42.38,1,Expensive
Is Everyone Hanging Out Without Me? (And Other Concerns),20.11,3,Medium
Into the Wild,56.7,5,Expensive
Inferno (Robert Langdon #4),41.0,5,Expensive
"In the Garden of Beasts: Love, Terror, and an American Family in Hitler's Berlin",28.85,3,Medium
If I Run (If I Run #1),49.97,4,Expensive
I've Got Your Number,19.69,1,Cheap
I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban,28.88,2,Medium
Hungry Girl Clean & Hungry: Easy All-Natural Recipes for Healthy Eating in the Real World,33.14,3,Medium
"House of Lost Worlds: Dinosaurs, Dynasties, and the Story of Life on Earth",43.7,2,Expensive
House of Leaves,54.89,1,Expensive
Horrible Bear!,37.52,2,Medium
Holidays on Ice,51.07,2,Expensive
Heir to the Sky,44.07,4,Expensive
Green Eggs and Ham (Beginner Books B-16),10.79,4,Cheap
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,Expensive
Gratitude,26.66,5,Medium
Gone Girl,37.6,5,Medium
Golden (Heart of Dread #3),42.21,4,Expensive
Girl in the Blue Coat,46.83,2,Expensive
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,Expensive
"Friday Night Lights: A Town, a Team, and a Dream",51.22,3,Expensive
Fire Bound (Sea Haven/Sisters of the Heart #5),21.28,4,Medium
Fifty Shades Freed (Fifty Shades #3),15.36,5,Cheap
Fellside,38.62,1,Medium
Extreme Prey (Lucas Davenport #26),25.4,3,Medium
Eragon (The Inheritance Cycle #1),43.87,3,Expensive
Eclipse (Twilight #3),18.74,1,Cheap
Dune (Dune #1),54.86,1,Expensive
Dracula,52.62,3,Expensive
Do Androids Dream of Electric Sheep? (Blade Runner #1),51.48,1,Expensive
Disrupted: My Misadventure in the Start-Up Bubble,15.28,5,Cheap
Dead Wake: The Last Crossing of the Lusitania,39.24,5,Medium
"David and Goliath: Underdogs, Misfits, and the Art of Battling Giants",17.81,1,Cheap
Darkfever (Fever #1),56.02,1,Expensive
Dark Places,23.9,5,Medium
Crazy Rich Asians (Crazy Rich Asians #1),49.13,5,Expensive
Counting Thyme,10.62,1,Cheap
Cosmos,36.17,2,Medium
Civilization and Its Discontents,59.95,2,Expensive
Cinder (The Lunar Chronicles #1),26.09,1,Medium
Catastrophic Happiness: Finding Joy in Childhood's Messy Years,37.35,2,Medium
Career of Evil (Cormoran Strike #3),24.72,2,Medium
Breaking Dawn (Twilight #4),35.28,5,Medium
Brave Enough,51.32,5,Expensive
Boy Meets Boy,21.12,3,Medium
"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",27.35,2,Medium
Blink: The Power of Thinking Without Thinking,21.74,5,Medium
Black Flags: The Rise of ISIS,40.87,1,Expensive
"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,Expensive
Big Little Lies,22.11,1,Medium
Between Shades of Gray,20.79,5,Medium
Best of My Love (Fool's Gold #20),27.41,2,Medium
Beowulf,38.35,2,Medium
Beautiful Creatures (Caster Chronicles #1),21.55,5,Medium
Awkward,38.02,2,Medium
Ash,22.06,4,Medium
Are We There Yet?,10.66,3,Cheap
Are We Smart Enough to Know How Smart Animals Are?,56.58,1,Expensive
Annie on My Mind,36.83,5,Medium
And Then There Were None,35.01,2,Medium
A Walk in the Woods: Rediscovering America on the Appalachian Trail,30.48,4,Medium
A Visit from the Goon Squad,14.08,5,Cheap
A Storm of Swords (A Song of Ice and Fire #3),31.22,2,Medium
A Heartbreaking Work of Staggering Genius,54.29,5,Expensive
8 Keys to Mental Health Through Exercise,31.04,1,Medium
#GIRLBOSS,50.96,1,Expensive
"The Suffragettes (Little Black Classics, #96)",11.89,2,Cheap
The Sense of an Ending,31.38,3,Medium
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,Expensive
The Course of Love,16.78,3,Cheap
Sugar Rush (Offensive Line #2),24.42,1,Medium
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,Cheap
"Run, Spot, Run: The Ethics of Keeping Pets",20.02,1,Medium
New Moon (Twilight #2),12.86,4,Cheap
Life,31.58,5,Medium
Kindle Paperwhite User's Guide,34.0,3,Medium
H is for Hawk,57.42,5,Expensive
Girl Online On Tour (Girl Online #2),53.47,1,Expensive
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,Cheap
Diary of a Minecraft Zombie Book 1: A Scare of a Dare (An Unofficial Minecraft Book),52.88,4,Expensive
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,Cheap
While You Were Mine,41.32,5,Expensive
Where Lightning Strikes (Bleeding Stars #3),39.77,3,Medium
When I'm Gone,51.96,3,Expensive
Ways of Seeing,39.51,5,Medium
"Vampire Knight, Vol. 1 (Vampire Knight #1)",15.4,1,Cheap
Vampire Girl (Vampire Girl #1),53.82,2,Expensive
Twenty Love Poems and a Song of Despair,30.95,4,Medium
Travels with Charley: In Search of America,57.82,5,Expensive
Three Wishes (River of Time: California #1),44.18,2,Expensive
This One Moment (Pushing Limits #1),48.71,1,Expensive
The Zombie Room,19.69,5,Cheap
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,Medium
The Tumor,41.56,5,Expensive
The Story of Hong Gildong,43.19,4,Expensive
The Silent Wife,12.34,5,Cheap
The Silent Twin (Detective Jennifer Knight #3),36.25,3,Medium
The Selfish Gene,29.45,1,Medium
The Secret Healer,34.56,3,Medium
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,Expensive
The Republic,33.78,3,Medium
The Odyssey,29.64,3,Medium
The No. 1 Ladies' Detective Agency (No. 1 Ladies' Detective Agency #1),57.7,4,Expensive
The Nicomachean Ethics,36.34,1,Medium
The Name of the Wind (The Kingkiller Chronicle #1),50.59,3,Expensive
The Mirror & the Maze (The Wrath and the Dawn #1.5),29.38,1,Medium
The Little Prince,45.42,2,Expensive
The Light of the Fireflies,54.43,1,Expensive
